HIP,HR,Name,RAh,Dec,Vmag,B-V,SourceCatalog,SourceId,TYC
32349,,Sirius,6.752569,-16.713143,-1.440,0.009,hip,HIP32349,
30438,,Canopus,6.399192,-52.695718,-0.620,0.164,hip,HIP30438,
69673,,Arcturus,14.261208,19.187270,-0.050,1.239,hip,HIP69673,
71683,,Rigil Kentaurus,14.661361,-60.835147,-0.010,0.710,hip,HIP71683,
91262,,Vega,18.615607,38.782993,0.030,-0.001,hip,HIP91262,
24608,,Capella,5.278138,45.999029,0.080,0.795,hip,HIP24608,
24436,,Rigel,5.242298,-8.201639,0.180,-0.030,hip,HIP24436,
37279,,Procyon,7.655149,5.227508,0.400,0.432,hip,HIP37279,
7588,,Achernar,1.628542,-57.236660,0.450,-0.158,hip,HIP7588,
27989,,Betelgeuse,5.919525,7.407036,0.450,1.500,hip,HIP27989,
68702,,Hadar,14.063735,-60.372978,0.610,-0.231,hip,HIP68702,
97649,,Altair,19.846301,8.867385,0.760,0.221,hip,HIP97649,
60718,,Acrux,12.443317,-63.099056,0.770,-0.243,hip,HIP60718,
21421,,Aldebaran,4.598667,16.509762,0.870,1.538,hip,HIP21421,
65474,,Spica,13.419890,-11.161245,0.980,-0.235,hip,HIP65474,
80763,,Antares,16.490130,-26.431946,1.060,1.865,hip,HIP80763,
37826,,Pollux,7.755379,28.026310,1.160,0.991,hip,HIP37826,
113368,,Fomalhaut,22.960785,-29.621837,1.170,0.145,hip,HIP113368,
62434,,Mimosa,12.795366,-59.688732,1.250,-0.238,hip,HIP62434,
102098,,Deneb,20.690532,45.280334,1.250,0.092,hip,HIP102098,
71681,,Toliman,14.660942,-60.839471,1.350,0.900,hip,HIP71681,
49669,,Regulus,10.139572,11.967195,1.360,-0.087,hip,HIP49669,
33579,,Adhara,6.977096,-28.972089,1.500,-0.211,hip,HIP33579,
36850,,Castor,7.576668,31.888636,1.580,0.034,hip,HIP36850,
61084,,Gacrux,12.519425,-57.112569,1.590,1.600,hip,HIP61084,
85927,,Shaula,17.560146,-37.103748,1.620,-0.231,hip,HIP85927,
25336,,Bellatrix,5.418852,6.349735,1.640,-0.224,hip,HIP25336,
25428,,Elnath,5.438194,28.607873,1.650,-0.130,hip,HIP25428,
45238,,Miaplacidus,9.220067,-69.717472,1.670,0.070,hip,HIP45238,
26311,,Alnilam,5.603559,-1.201917,1.690,-0.184,hip,HIP26311,
109268,,Alnair,22.137188,-46.960616,1.730,-0.070,hip,HIP109268,
26727,,Alnitak,5.679312,-1.942578,1.740,-0.199,hip,HIP26727,
39953,,,8.158876,-47.336612,1.750,-0.145,hip,HIP39953,
62956,,Alioth,12.900454,55.959843,1.760,-0.022,hip,HIP62956,
15863,,Mirfak,3.405375,49.861243,1.790,0.481,hip,HIP15863,
90185,,Kaus Australis,18.402874,-34.384315,1.790,-0.031,hip,HIP90185,
54061,,Dubhe,11.062177,61.751119,1.810,1.061,hip,HIP54061,
34444,,Wezen,7.139857,-26.393208,1.830,0.671,hip,HIP34444,
67301,,Alkaid,13.792374,49.313303,1.850,-0.099,hip,HIP67301,
41037,,Avior,8.375240,-59.509538,1.860,1.196,hip,HIP41037,
86228,,Sargas,17.621979,-42.997822,1.860,0.406,hip,HIP86228,
28360,,Menkalinan,5.992158,44.947435,1.900,0.077,hip,HIP28360,
82273,,Atria,16.811074,-69.027635,1.910,1.447,hip,HIP82273,
31681,,Alhena,6.628528,16.399415,1.930,0.001,hip,HIP31681,
42913,,Alsephina,8.745055,-54.708568,1.930,0.043,hip,HIP42913,
100751,,Peacock,20.427458,-56.734881,1.940,-0.118,hip,HIP100751,
11767,,Polaris,2.529743,89.264138,1.970,0.636,hip,HIP11767,
30324,,Mirzam,6.378330,-17.955917,1.980,-0.240,hip,HIP30324,
46390,,Alphard,9.459792,-8.658683,1.990,1.440,hip,HIP46390,
9884,,Hamal,2.119524,23.462777,2.010,1.151,hip,HIP9884,
50583,,Algieba,10.332823,19.841860,2.010,1.128,hip,HIP50583,
3419,,Diphda,0.726452,-17.986684,2.040,1.019,hip,HIP3419,
92855,,Nunki,18.921088,-26.296594,2.050,-0.134,hip,HIP92855,
68933,,Menkent,14.111479,-36.368696,2.060,1.011,hip,HIP68933,
677,,Alpheratz,0.139769,29.090828,2.070,-0.038,hip,HIP677,
5447,,Mirach,1.162166,35.620830,2.070,1.576,hip,HIP5447,
27366,,Saiph,5.795941,-9.669602,2.070,-0.168,hip,HIP27366,
72607,,Kochab,14.845110,74.155476,2.070,1.465,hip,HIP72607,
112122,,Tiaki,22.711093,-46.884566,2.070,1.610,hip,HIP112122,
86032,,Rasalhague,17.582224,12.560576,2.080,0.155,hip,HIP86032,
14576,,Algol,3.136147,40.955651,2.090,-0.003,hip,HIP14576,
9640,,Almach,2.064978,42.329848,2.100,1.370,hip,HIP9640,
57632,,Denebola,11.817744,14.572337,2.140,0.090,hip,HIP57632,
