proper names,NEC+,Designation,HIP,Bayer ID,Simbad spelling,Constellation,Origin,Language,Reference,Date of Adoption,image,image_source,RA,DEC,mag
Uñallamacha,"6,456",HD 155985,84556,,Unallamacha,Sco,"Uñallamacha, The Baby Llama, is an Inka dark constellation. It forms a super-constellation with its mother, Yaqana. WGSN picked the faintest star above the visibility threshold and inside the dark cloud area to keep its heritage.",Quechua,see ASE,2026/07/01,,,259.2730909,-44.77859556,6.487
Tianjinnan,"8,093",HR 8115,104732,ζ Cyg,Tianjinnan,Cyg,"“Southern star of Tianjin”, the Celestial Ferry, is in the Chinese constellation that allows is celebrated to allow the celestial couple of The Girl and The Cowherd to meet once a year.",Chinese,see ASE,2026/07/16,,,318.2341083,30.22689868,3.21
Enduri Senggu,"8,105",HR 8130,104887,τ Cyg,Enduri Senggu,Cyg,"Name of the Hedgehog Goddess. She is the guardian of human dwellings and in the sky points head northwards, tail southwards in winter.",Manchu,see ASE,2026/07/16,,,318.6978855,38.04531782,3.73
Almighzal,"7,602",HR 7615,98110,η Cyg,Almighzal,Cyg,Wool Spindle – central Saudi Arabia. The constellation is used in a contemporary oral tradition by the ordinary people.,Arabic,see ASE,2026/07/16,,,299.0765493,35.08342289,3.88
Dhanishta,"7,939",HR 7947,102531,γ1 Del,Dhanishta,Del,"one of the Nakshatras, a constellation, depicted as an (unnumbered) multitude of stars",Sanskrit,see ASE,2026/07/16,,,311.661921,16.12412827,4.96
Protome,"8,087",HR 8098,104538,6 Equ,Protome,Equ,"Protome, the Bust, is the original name of this constellation from Roman time when Greek was still the language of science. The reasons for this invention are not preserved, but mythology later added.",Ancient Greek,see ASE,2026/07/16,,,317.6304835,10.04891338,6.057
Tepennekhet,"8,103",HR 8123,104858,δ Equ,Tepennekhet,Equ,"Head of the Giant, the Giant (Nekhet) being an important Egyptian constellation, is a star name from the Ramesside Star Clocks (1400 and 1200 BCE).",Egyptian,see ASE,2026/07/16,,,318.6200638,10.00697941,4.49
Sukhurmashu,"7,741",HR 7747,100027,α1 Cap,Sukhurmashu,Cap,Sukhurmashu is the Akkadian original name for this goat-fish; it was considered a benevolent and philanthropic daemon that helps humans to stay healthy and vivid.,Akkadian,see ASE,2026/07/16,,,304.4119547,-12.50821219,4.27
Aerostaticus,"8,126",HR 8135,105140,ε Mic,Aerostaticus,Mic,"Globus Aerostaticus is one of the obsolete constellations, introduced in early modern time to celebrate new technologies.",Latin,see ASE,2026/07/16,,,319.4845255,-32.17254768,4.708
Tianbang,"6,620",HR 6588,86414,ι Her,Tianbang,Her,"Tiān Bàng (Celestial Flail, 天棓) is a defensive weapon, attested as constellation since 100 BCE. WGSN represents it by its determinative star.",Chinese,see ASE,2026/06/20,,,264.8661954,46.00633138,3.8
