HIP,HR,Name,RAh,Dec,Vmag,B-V,SourceCatalog,SourceId,TYC
32349,,Sirius,6.752569,-16.713143,-1.44,0.01,hip,HIP32349,
30438,,Canopus,6.399192,-52.695718,-0.62,0.16,hip,HIP30438,
69673,,Arcturus,14.261208,19.187270,-0.05,1.24,hip,HIP69673,
71683,,Rigil Kentaurus,14.661361,-60.835147,-0.01,0.71,hip,HIP71683,
91262,,Vega,18.615607,38.782993,0.03,-0.00,hip,HIP91262,
24608,,Capella,5.278138,45.999029,0.08,0.80,hip,HIP24608,
24436,,Rigel,5.242298,-8.201639,0.18,-0.03,hip,HIP24436,
37279,,Procyon,7.655149,5.227508,0.40,0.43,hip,HIP37279,
7588,,Achernar,1.628542,-57.236660,0.45,-0.16,hip,HIP7588,
27989,,Betelgeuse,5.919525,7.407036,0.45,1.50,hip,HIP27989,
68702,,Hadar,14.063735,-60.372978,0.61,-0.23,hip,HIP68702,
97649,,Altair,19.846301,8.867385,0.76,0.22,hip,HIP97649,
60718,,Acrux,12.443317,-63.099056,0.77,-0.24,hip,HIP60718,
21421,,Aldebaran,4.598667,16.509762,0.87,1.54,hip,HIP21421,
65474,,Spica,13.419890,-11.161245,0.98,-0.23,hip,HIP65474,
80763,,Antares,16.490130,-26.431946,1.06,1.86,hip,HIP80763,
37826,,Pollux,7.755379,28.026310,1.16,0.99,hip,HIP37826,
113368,,Fomalhaut,22.960785,-29.621837,1.17,0.14,hip,HIP113368,
62434,,Mimosa,12.795366,-59.688732,1.25,-0.24,hip,HIP62434,
102098,,Deneb,20.690532,45.280334,1.25,0.09,hip,HIP102098,
71681,,Toliman,14.660942,-60.839471,1.35,0.90,hip,HIP71681,
49669,,Regulus,10.139572,11.967195,1.36,-0.09,hip,HIP49669,
33579,,Adhara,6.977096,-28.972089,1.50,-0.21,hip,HIP33579,
36850,,Castor,7.576668,31.888636,1.58,0.03,hip,HIP36850,
61084,,Gacrux,12.519425,-57.112569,1.59,1.60,hip,HIP61084,
85927,,Shaula,17.560146,-37.103748,1.62,-0.23,hip,HIP85927,
25336,,Bellatrix,5.418852,6.349735,1.64,-0.22,hip,HIP25336,
25428,,Elnath,5.438194,28.607873,1.65,-0.13,hip,HIP25428,
45238,,Miaplacidus,9.220067,-69.717472,1.67,0.07,hip,HIP45238,
26311,,Alnilam,5.603559,-1.201917,1.69,-0.18,hip,HIP26311,
109268,,Alnair,22.137188,-46.960616,1.73,-0.07,hip,HIP109268,
26727,,Alnitak,5.679312,-1.942578,1.74,-0.20,hip,HIP26727,
39953,,,8.158876,-47.336612,1.75,-0.14,hip,HIP39953,
62956,,Alioth,12.900454,55.959843,1.76,-0.02,hip,HIP62956,
15863,,Mirfak,3.405375,49.861243,1.79,0.48,hip,HIP15863,
90185,,Kaus Australis,18.402874,-34.384315,1.79,-0.03,hip,HIP90185,
54061,,Dubhe,11.062177,61.751119,1.81,1.06,hip,HIP54061,
34444,,Wezen,7.139857,-26.393208,1.83,0.67,hip,HIP34444,
67301,,Alkaid,13.792374,49.313303,1.85,-0.10,hip,HIP67301,
41037,,Avior,8.375240,-59.509538,1.86,1.20,hip,HIP41037,
86228,,Sargas,17.621979,-42.997822,1.86,0.41,hip,HIP86228,
28360,,Menkalinan,5.992158,44.947435,1.90,0.08,hip,HIP28360,
82273,,Atria,16.811074,-69.027635,1.91,1.45,hip,HIP82273,
31681,,Alhena,6.628528,16.399415,1.93,0.00,hip,HIP31681,
42913,,Alsephina,8.745055,-54.708568,1.93,0.04,hip,HIP42913,
100751,,Peacock,20.427458,-56.734881,1.94,-0.12,hip,HIP100751,
11767,,Polaris,2.529743,89.264138,1.97,0.64,hip,HIP11767,
30324,,Mirzam,6.378330,-17.955917,1.98,-0.24,hip,HIP30324,
46390,,Alphard,9.459792,-8.658683,1.99,1.44,hip,HIP46390,
9884,,Hamal,2.119524,23.462777,2.01,1.15,hip,HIP9884,
50583,,Algieba,10.332823,19.841860,2.01,1.13,hip,HIP50583,
3419,,Diphda,0.726452,-17.986684,2.04,1.02,hip,HIP3419,
92855,,Nunki,18.921088,-26.296594,2.05,-0.13,hip,HIP92855,
68933,,Menkent,14.111479,-36.368696,2.06,1.01,hip,HIP68933,
677,,Alpheratz,0.139769,29.090828,2.07,-0.04,hip,HIP677,
5447,,Mirach,1.162166,35.620830,2.07,1.58,hip,HIP5447,
27366,,Saiph,5.795941,-9.669602,2.07,-0.17,hip,HIP27366,
72607,,Kochab,14.845110,74.155476,2.07,1.47,hip,HIP72607,
112122,,Tiaki,22.711093,-46.884566,2.07,1.61,hip,HIP112122,
86032,,Rasalhague,17.582224,12.560576,2.08,0.15,hip,HIP86032,
14576,,Algol,3.136147,40.955651,2.09,-0.00,hip,HIP14576,
