HIP,HR,Name,RAh,Dec,Vmag,B-V,SourceCatalog,SourceId,TYC
,,,0.006178,-44.317139,10.001,0.919,tyc2,TYC7529-00376-1,7529-00376-1
,,,0.033694,72.384878,10.001,1.151,tyc2,TYC4302-00897-1,4302-00897-1
,,,0.160193,33.989237,10.001,0.422,tyc2,TYC2268-00356-1,2268-00356-1
,,,0.222179,-5.975815,10.001,0.649,tyc2,TYC4670-00991-1,4670-00991-1
,,,0.270754,78.021835,10.001,0.432,tyc2,TYC4496-01573-1,4496-01573-1
,,,0.319893,57.657335,10.001,1.084,tyc2,TYC3661-01063-1,3661-01063-1
,,,0.361854,-28.456995,10.001,0.638,tyc2,TYC6419-00078-1,6419-00078-1
,,,0.427714,42.362815,10.001,1.634,tyc2,TYC2791-00771-1,2791-00771-1
,,,0.465387,8.425809,10.001,0.430,tyc2,TYC0596-00390-1,0596-00390-1
,,,0.560835,64.872840,10.001,0.516,tyc2,TYC4023-00114-1,4023-00114-1
,,,0.747442,38.380917,10.001,1.383,tyc2,TYC2797-00770-1,2797-00770-1
,,,0.840897,9.160829,10.001,0.898,tyc2,TYC0604-00754-1,0604-00754-1
,,,1.045172,71.106546,10.001,0.207,tyc2,TYC4300-00946-1,4300-00946-1
,,,1.071921,31.424398,10.001,0.348,tyc2,TYC2278-00399-1,2278-00399-1
,,,1.310869,48.027540,10.001,1.340,tyc2,TYC3268-00621-1,3268-00621-1
,,,1.514567,48.093788,10.001,1.306,tyc2,TYC3282-02088-1,3282-02088-1
,,,1.559907,40.425017,10.001,0.665,tyc2,TYC2818-00682-1,2818-00682-1
,,,1.650432,47.823885,10.001,0.521,tyc2,TYC3282-01755-1,3282-01755-1
,,,1.660871,8.200579,10.001,0.990,tyc2,TYC0621-00680-1,0621-00680-1
,,,1.680198,33.080233,10.001,1.491,tyc2,TYC2298-00637-1,2298-00637-1
,,,1.780125,70.200722,10.001,0.467,tyc2,TYC4314-01710-1,4314-01710-1
,,,1.936195,37.750002,10.001,0.394,tyc2,TYC2816-02207-1,2816-02207-1
,,,2.011170,-39.555840,10.001,0.465,tyc2,TYC7550-00072-1,7550-00072-1
,,,2.018457,43.006382,10.001,1.197,tyc2,TYC2837-01067-1,2837-01067-1
,,,2.075802,47.831184,10.001,0.469,tyc2,TYC3285-00184-1,3285-00184-1
,,,2.114141,34.594503,10.001,0.532,tyc2,TYC2317-01258-1,2317-01258-1
,,,2.147640,-60.469984,10.001,0.567,tyc2,TYC8851-00240-1,8851-00240-1
,,,2.161729,31.609812,10.001,0.476,tyc2,TYC2309-00935-1,2309-00935-1
,,,2.231122,12.784002,10.001,1.556,tyc2,TYC0637-01155-1,0637-01155-1
10674,,,2.288949,52.469245,10.001,0.273,tyc2,TYC3306-01930-2,3306-01930-2
,,,2.386538,60.830602,10.001,0.523,tyc2,TYC4046-01808-1,4046-01808-1
,,,2.418184,45.603031,10.001,1.119,tyc2,TYC3294-01190-1,3294-01190-1
,,,2.463713,29.550977,10.001,1.116,tyc2,TYC1778-00886-1,1778-00886-1
,,,2.508533,5.061639,10.001,1.413,tyc2,TYC0052-00796-1,0052-00796-1
,,,2.666614,56.054841,10.001,0.395,tyc2,TYC3691-00487-1,3691-00487-1
,,,2.777507,-62.261045,10.001,1.108,tyc2,TYC8859-01043-1,8859-01043-1
,,,2.950715,-22.702367,10.001,0.832,tyc2,TYC6437-00088-1,6437-00088-1
,,,3.113514,58.215105,10.001,0.676,tyc2,TYC3714-01141-1,3714-01141-1
,,,3.164801,-29.027829,10.001,0.588,tyc2,TYC6445-00358-1,6445-00358-1
,,,3.205240,39.530279,10.001,0.047,tyc2,TYC2852-00867-1,2852-00867-1
,,,3.289319,-21.132948,10.001,0.480,tyc2,TYC5878-01278-1,5878-01278-1
,,,3.651771,-16.283554,10.001,1.125,tyc2,TYC5874-00610-1,5874-00610-1
,,,3.901364,-33.465108,10.001,0.398,tyc2,TYC7032-00867-1,7032-00867-1
,,,3.950387,-26.179371,10.001,0.965,tyc2,TYC6458-01331-1,6458-01331-1
